EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Halifax and Lunenburg NS,11/3/2007 0:00,0,0,0,2805156.51,150950.1,11/3/2007 0:00,812603,1925958.41,,48319.81,,,18275.29,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Peninsulas of Avalon ... Burin and Bonavista NL,8/1/2007 0:00,0,0,0,19073933,1026400,8/1/2007 0:00,19073933,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Municipalities of Pipestone ... Sifton ... Cameron ... White water ... Morton ... Riverside ... Turtle Mountain ... Strathcona and Argyle and the Whiteshell Provincial Park MB,6/22/2007 0:00,0,0,0,1183183,63669,6/22/2007 0:00,1183183,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Pangnirtung NU,6/8/2008 0:00,0,0,0,4507509,237029.4,6/9/2008 0:00,4507509,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Queens County PE,9/6/2008 0:00,0,0,0,1572759,82704.2,9/7/2008 0:00,1572759,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Hay River NT,5/5/2008 0:00,0,0,600,460000,24189.3,5/7/2008 0:00,460000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Colchester ... Pictou ... Antigonish ... Inverness ... Victoria ... Cumberland and Halifax NS,8/29/2008 0:00,0,0,0,851326,44767.4,8/31/2008 0:00,851326,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Gander ... Hare Bay and Swift Current NL,7/30/2008 0:00,0,0,0,644956,33915.3,7/30/2008 0:00,644956,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storm - Unspecified / Other,South-Central Manitoba,5/16/2008 0:00,0,0,0,314496,16537.9,5/17/2008 0:00,314496,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Greater Vancouver and Fraser Valley BC,1/6/2009 0:00,0,0,0,3591884,188385.5,1/8/2009 0:00,3591884,,,,,,,0,0
